stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6852,0.0150
0.0,conformal_risk_filter,0.7076,0.0163
0.0,proposed_branch_mechanism,0.7514,0.0153
0.0,oracle_branch_upper_bound,0.8052,0.0098
0.2,scalar_uncertainty_planner,0.6331,0.0162
0.2,conformal_risk_filter,0.6600,0.0181
0.2,proposed_branch_mechanism,0.7205,0.0149
0.2,oracle_branch_upper_bound,0.7829,0.0105
0.4,scalar_uncertainty_planner,0.5752,0.0201
0.4,conformal_risk_filter,0.6176,0.0153
0.4,proposed_branch_mechanism,0.6929,0.0145
0.4,oracle_branch_upper_bound,0.7617,0.0092
0.6,scalar_uncertainty_planner,0.5160,0.0170
0.6,conformal_risk_filter,0.5664,0.0161
0.6,proposed_branch_mechanism,0.6631,0.0143
0.6,oracle_branch_upper_bound,0.7400,0.0106
0.8,scalar_uncertainty_planner,0.4605,0.0189
0.8,conformal_risk_filter,0.5283,0.0182
0.8,proposed_branch_mechanism,0.6333,0.0144
0.8,oracle_branch_upper_bound,0.7190,0.0108
1.0,scalar_uncertainty_planner,0.4045,0.0154
1.0,conformal_risk_filter,0.4838,0.0204
1.0,proposed_branch_mechanism,0.6036,0.0164
1.0,oracle_branch_upper_bound,0.6998,0.0114
