method,split,seed,episodes,success_rate,mean_final_belief_error,mean_error_during_occlusion,mean_error_after_occlusion,false_disappearance_rate,identity_switch_rate,wrong_object_contact_rate,wrong_contact_rate,target_contact_rate,mean_reacquisition_latency,mean_diagnostic_steps,mean_path_length,mean_calibration_error,mean_occluded_steps
ensemble_uncertainty_planner,camera_dropout_burst,0,6,0.00000,0.05313,0.08339,0.05640,0.32203,0.03055,0.00000,0.13518,0.13518,0.16137,32.66667,1.37129,0.06233,38.66667
ensemble_uncertainty_planner,camera_dropout_burst,1,6,0.00000,0.07083,0.08676,0.05261,0.37449,0.02091,0.00000,0.30926,0.18703,0.04861,33.50000,1.38184,0.06419,40.00000
ensemble_uncertainty_planner,camera_dropout_burst,2,6,0.33333,0.22649,0.13442,0.05263,0.47002,0.07692,0.00000,0.23148,0.21666,0.06845,33.66667,1.44599,0.07131,41.33333
ensemble_uncertainty_planner,camera_dropout_burst,3,6,0.00000,0.08374,0.09254,0.05752,0.37908,0.09430,0.00000,0.23889,0.14630,0.25741,33.83333,1.40666,0.06015,39.33333
ensemble_uncertainty_planner,camera_dropout_burst,4,6,0.00000,0.20856,0.18204,0.05266,0.46346,0.16793,0.00000,0.00000,0.22593,0.17725,30.16667,1.50160,0.13910,45.50000
ensemble_uncertainty_planner,camera_dropout_burst,5,6,0.00000,0.16774,0.23014,0.05857,0.57048,0.28370,0.00000,0.15926,0.27778,0.18056,33.50000,1.47001,0.14639,50.50000
ensemble_uncertainty_planner,camera_dropout_burst,6,6,0.16667,0.09799,0.15268,0.05106,0.43487,0.10235,0.00000,0.21852,0.19815,0.11620,33.00000,1.35356,0.10533,44.83333
ensemble_uncertainty_planner,camera_dropout_burst,7,6,0.16667,0.21634,0.12294,0.06824,0.44457,0.12230,0.00000,0.01111,0.21296,0.16667,34.33333,1.54758,0.08221,42.33333
ensemble_uncertainty_planner,combined_extreme_stress,0,6,0.00000,0.12829,0.32804,0.08435,0.82374,0.24995,0.16667,0.20370,0.09444,0.08750,34.83333,1.58434,0.49434,57.00000
ensemble_uncertainty_planner,combined_extreme_stress,1,6,0.00000,0.40133,0.46506,0.34702,0.93127,0.39782,0.00000,0.02407,0.09630,45.14444,25.33333,1.65428,0.95815,65.50000
ensemble_uncertainty_planner,combined_extreme_stress,2,6,0.16667,0.66763,0.38145,0.07194,0.87111,0.31944,0.00000,0.12963,0.13889,0.12500,32.00000,1.67089,0.60939,62.16667
ensemble_uncertainty_planner,combined_extreme_stress,3,6,0.00000,0.49324,0.39112,0.46412,0.90288,0.34228,0.00000,0.10556,0.12963,60.15278,24.16667,1.63054,0.88868,61.66667
ensemble_uncertainty_planner,combined_extreme_stress,4,6,0.00000,0.66150,0.39393,0.41529,0.90701,0.36053,0.33333,0.20370,0.13148,45.02381,29.83333,1.61672,0.82718,63.16667
ensemble_uncertainty_planner,combined_extreme_stress,5,6,0.33333,0.37392,0.28724,0.10312,0.80753,0.32260,0.16667,0.21296,0.10370,0.20741,38.00000,1.55221,0.43915,57.33333
ensemble_uncertainty_planner,combined_extreme_stress,6,6,0.00000,0.19798,0.26938,0.06958,0.79672,0.19381,0.16667,0.11482,0.05371,0.26768,37.50000,1.51789,0.41347,55.16667
ensemble_uncertainty_planner,combined_extreme_stress,7,6,0.33333,0.28542,0.31306,0.06991,0.85530,0.27601,0.00000,0.03889,0.08518,0.08333,36.50000,1.62127,0.46888,59.00000
ensemble_uncertainty_planner,combined_stress,0,6,0.00000,0.34133,0.32263,0.23940,0.84103,0.20884,0.00000,0.05926,0.15371,30.06111,29.83333,1.61661,0.47036,59.33333
ensemble_uncertainty_planner,combined_stress,1,6,0.00000,0.31809,0.23460,0.33128,0.77885,0.13939,0.00000,0.11667,0.11852,30.12328,31.16667,1.57471,0.36719,51.83333
ensemble_uncertainty_planner,combined_stress,2,6,0.16667,0.20805,0.27257,0.05617,0.81483,0.18782,0.00000,0.19259,0.15370,0.02083,32.33333,1.57751,0.30618,53.00000
ensemble_uncertainty_planner,combined_stress,3,6,0.00000,0.33920,0.20493,0.19956,0.76576,0.28043,0.00000,0.29815,0.10555,15.13704,32.66667,1.59515,0.30173,50.66667
ensemble_uncertainty_planner,combined_stress,4,6,0.00000,0.28249,0.36214,0.11300,0.88143,0.28889,0.00000,0.00000,0.24259,15.07500,31.16667,1.70329,0.41517,58.66667
ensemble_uncertainty_planner,combined_stress,5,6,0.16667,0.20648,0.23581,0.05907,0.73929,0.27357,0.00000,0.10555,0.16667,0.05714,35.66667,1.62289,0.22269,52.66667
ensemble_uncertainty_planner,combined_stress,6,6,0.00000,0.42953,0.28841,0.21181,0.79743,0.28803,0.00000,0.26852,0.13518,15.05417,32.66667,1.60853,0.34974,55.16667
ensemble_uncertainty_planner,combined_stress,7,6,0.16667,0.50452,0.30499,0.06960,0.82361,0.22771,0.00000,0.39815,0.16666,0.25992,33.00000,1.62345,0.29655,56.16667
ensemble_uncertainty_planner,distractor_swap,0,6,0.83333,0.05055,0.09569,0.03210,0.14233,0.12570,0.00000,0.21111,0.42407,0.00000,25.66667,1.55968,0.04452,39.33333
ensemble_uncertainty_planner,distractor_swap,1,6,0.66667,0.09346,0.08365,0.03305,0.05765,0.11783,0.00000,0.31296,0.42407,0.00000,25.33333,1.49819,0.04130,39.33333
ensemble_uncertainty_planner,distractor_swap,2,6,0.83333,0.06441,0.10120,0.03324,0.16007,0.11887,0.00000,0.43148,0.43148,0.04167,27.66667,1.56383,0.04422,40.50000
ensemble_uncertainty_planner,distractor_swap,3,6,0.50000,0.03482,0.10694,0.03518,0.13607,0.12150,0.00000,0.26111,0.44444,0.03333,27.50000,1.52895,0.04648,41.83333
ensemble_uncertainty_planner,distractor_swap,4,6,0.33333,0.05636,0.06844,0.03519,0.03422,0.07736,0.00000,0.21667,0.42037,0.03333,25.33333,1.42193,0.04256,39.50000
ensemble_uncertainty_planner,distractor_swap,5,6,0.50000,0.10608,0.08832,0.03639,0.10164,0.06567,0.00000,0.27593,0.45185,0.06667,28.50000,1.45249,0.04504,42.66667
ensemble_uncertainty_planner,distractor_swap,6,6,0.66667,0.09858,0.09592,0.03547,0.12744,0.08817,0.00000,0.25741,0.43704,0.08333,26.83333,1.47348,0.04395,40.83333
ensemble_uncertainty_planner,distractor_swap,7,6,0.83333,0.10268,0.09189,0.03847,0.12496,0.10993,0.00000,0.12222,0.41482,0.09722,25.83333,1.57578,0.04321,38.50000
ensemble_uncertainty_planner,embodiment_control_shift,0,6,0.00000,0.03963,0.11588,0.03737,0.49178,0.08730,0.00000,0.00000,0.18889,0.06481,32.33333,1.42086,0.06808,40.00000
ensemble_uncertainty_planner,embodiment_control_shift,1,6,0.00000,0.03631,0.06873,0.04095,0.44783,0.07427,0.00000,0.21667,0.16296,0.05159,31.83333,1.37752,0.06030,38.50000
