method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_final_belief_error,ci95_mean_final_belief_error,mean_mean_error_during_occlusion,ci95_mean_error_during_occlusion,mean_mean_error_after_occlusion,ci95_mean_error_after_occlusion,mean_false_disappearance_rate,ci95_false_disappearance_rate,mean_identity_switch_rate,ci95_identity_switch_rate,mean_wrong_object_contact_rate,ci95_wrong_object_contact_rate,mean_wrong_contact_rate,ci95_wrong_contact_rate,mean_target_contact_rate,ci95_target_contact_rate,mean_mean_reacquisition_latency,ci95_mean_reacquisition_latency,mean_mean_diagnostic_steps,ci95_mean_diagnostic_steps,mean_mean_path_length,ci95_mean_path_length,mean_mean_calibration_error,ci95_mean_calibration_error,mean_mean_occluded_steps,ci95_mean_occluded_steps
ablate_no_branch_belief,combined_extreme_stress,8,4,0.71875,0.14457,0.05928,0.01090,0.06231,0.00915,0.05889,0.01124,0.51336,0.02223,0.08940,0.07763,0.00000,0.00000,0.18056,0.12601,0.55799,0.08926,84.37500,7.21756,0.00000,0.00000,1.04362,0.04916,0.11704,0.00521,70.21875,0.88548
ablate_no_branch_belief,combined_stress,8,4,0.78125,0.06125,0.05639,0.00865,0.05872,0.00764,0.05756,0.00951,0.52458,0.03065,0.09860,0.08812,0.00000,0.00000,0.15313,0.11298,0.61285,0.04847,87.18750,5.51250,0.00000,0.00000,0.97506,0.03590,0.11596,0.00778,71.06250,1.10250
ablate_no_branch_belief,false_reappearance,8,4,0.90625,0.08966,0.04390,0.00806,0.04796,0.00679,0.04455,0.00762,0.51990,0.02318,0.06774,0.06316,0.00000,0.00000,0.14653,0.06012,0.68229,0.05359,87.21875,5.45125,0.00000,0.00000,1.01125,0.02967,0.11665,0.00472,70.15625,0.84839
ablate_no_branch_belief,stale_memory_trap,8,4,1.00000,0.00000,0.04036,0.00746,0.04102,0.00455,0.04036,0.00746,0.53469,0.01017,0.03090,0.06056,0.00000,0.00000,0.11840,0.09066,0.75313,0.02325,90.00000,0.00000,0.00000,0.00000,0.98619,0.05899,0.12334,0.00480,70.68750,1.38825
ablate_no_contact_update,combined_extreme_stress,8,4,0.53125,0.14457,0.07809,0.01120,0.07565,0.01102,0.07809,0.01120,0.53231,0.00558,0.07489,0.08761,0.00000,0.00000,0.14167,0.08759,0.45417,0.09717,90.00000,0.00000,0.00000,0.00000,1.04327,0.03403,0.10947,0.00648,70.34375,0.99708
ablate_no_contact_update,combined_stress,8,4,0.81250,0.15356,0.05645,0.00897,0.05549,0.00809,0.05571,0.00896,0.52188,0.02353,0.04177,0.05894,0.00000,0.00000,0.20104,0.12185,0.65070,0.07459,87.18750,5.51250,0.00000,0.00000,0.98606,0.03624,0.11623,0.00418,70.90625,0.95760
ablate_no_contact_update,false_reappearance,8,4,0.84375,0.08966,0.04851,0.00691,0.04946,0.00406,0.04887,0.00679,0.51416,0.02247,0.00000,0.00000,0.00000,0.00000,0.09687,0.09080,0.66875,0.03970,84.37500,7.21756,0.00000,0.00000,1.00426,0.03031,0.11541,0.00525,69.93750,0.73936
ablate_no_contact_update,stale_memory_trap,8,4,0.90625,0.08966,0.05090,0.00820,0.04771,0.00705,0.05090,0.00820,0.53495,0.00959,0.00859,0.01109,0.00000,0.00000,0.18333,0.08181,0.70208,0.05942,90.00000,0.00000,0.00000,0.00000,0.98559,0.05741,0.11918,0.00749,70.81250,1.39441
ablate_no_distractor_filter,combined_extreme_stress,8,4,0.71875,0.11103,0.07628,0.01934,0.06521,0.00990,0.07481,0.01784,0.51550,0.02143,0.13039,0.09229,0.00000,0.00000,0.16389,0.10391,0.58889,0.08223,84.37500,7.21756,0.00000,0.00000,1.08942,0.04737,0.11271,0.00681,70.21875,0.95086
ablate_no_distractor_filter,combined_stress,8,4,0.78125,0.14457,0.05898,0.00926,0.05711,0.00797,0.05898,0.00926,0.53598,0.00610,0.06568,0.05218,0.00000,0.00000,0.10486,0.06341,0.63264,0.10512,90.00000,0.00000,0.00000,0.00000,1.02644,0.03882,0.11704,0.00475,70.96875,1.01624
ablate_no_distractor_filter,false_reappearance,8,4,0.93750,0.08020,0.05474,0.01003,0.04968,0.00636,0.05474,0.01003,0.52995,0.00491,0.08801,0.06203,0.00000,0.00000,0.21528,0.13816,0.72743,0.03336,90.00000,0.00000,0.00000,0.00000,1.03745,0.03765,0.11645,0.00349,70.15625,0.67375
ablate_no_distractor_filter,stale_memory_trap,8,4,0.96875,0.06125,0.04034,0.00432,0.03964,0.00446,0.04034,0.00432,0.53517,0.00843,0.04408,0.04466,0.00000,0.00000,0.16840,0.08983,0.74583,0.03861,90.00000,0.00000,0.00000,0.00000,1.02307,0.06281,0.12461,0.00415,70.75000,1.28979
ablate_no_false_detection_rejection,combined_extreme_stress,8,4,0.78125,0.11103,0.05660,0.00869,0.05844,0.00625,0.05660,0.00869,0.53227,0.00681,0.09752,0.05330,0.00000,0.00000,0.18056,0.11219,0.62291,0.06812,87.18750,5.51250,0.00000,0.00000,1.09238,0.05434,0.11823,0.00551,70.28125,1.08164
ablate_no_false_detection_rejection,combined_stress,8,4,0.93750,0.08020,0.05443,0.00973,0.05404,0.00680,0.05499,0.00949,0.52276,0.02819,0.08259,0.04694,0.00000,0.00000,0.11493,0.08898,0.69965,0.07051,87.18750,5.51250,0.00000,0.00000,1.02463,0.04192,0.11711,0.00584,70.93750,1.03842
ablate_no_false_detection_rejection,false_reappearance,8,4,0.93750,0.08020,0.04646,0.00739,0.04739,0.00521,0.04646,0.00739,0.52903,0.00532,0.03779,0.02584,0.00000,0.00000,0.15729,0.08432,0.73229,0.03633,90.00000,0.00000,0.00000,0.00000,1.04406,0.02803,0.11803,0.00165,70.15625,0.78541
ablate_no_false_detection_rejection,stale_memory_trap,8,4,0.90625,0.12890,0.05022,0.00438,0.04451,0.00394,0.05022,0.00438,0.53293,0.00877,0.03536,0.02843,0.00000,0.00000,0.17778,0.08550,0.73577,0.03277,90.00000,0.00000,0.00000,0.00000,1.01983,0.06143,0.11942,0.00456,70.68750,1.27222
ablate_no_identity_filter,combined_extreme_stress,8,4,0.65625,0.20576,0.06228,0.01361,0.06250,0.01144,0.06228,0.01361,0.61870,0.00758,0.14346,0.07516,0.00000,0.00000,0.19792,0.05092,0.54132,0.08636,90.00000,0.00000,0.00000,0.00000,1.03870,0.05885,0.13095,0.00736,70.28125,1.04945
ablate_no_identity_filter,combined_stress,8,4,0.71875,0.11103,0.05478,0.00921,0.05857,0.01048,0.05543,0.00817,0.60304,0.02550,0.10023,0.08075,0.00000,0.00000,0.20000,0.06774,0.57396,0.07826,81.56250,8.06947,0.00000,0.00000,0.98854,0.03209,0.12850,0.00843,70.90625,1.12249
ablate_no_identity_filter,false_reappearance,8,4,0.96875,0.06125,0.03896,0.00513,0.04050,0.00769,0.03896,0.00513,0.61597,0.00379,0.00794,0.00579,0.00000,0.00000,0.16632,0.11287,0.73993,0.03656,90.00000,0.00000,0.00000,0.00000,1.01138,0.03155,0.13767,0.00487,70.21875,0.70789
ablate_no_identity_filter,stale_memory_trap,8,4,0.93750,0.08020,0.04516,0.00812,0.04170,0.00754,0.04516,0.00812,0.61991,0.00791,0.01571,0.02504,0.00000,0.00000,0.19618,0.08856,0.73958,0.03653,90.00000,0.00000,0.00000,0.00000,0.99171,0.06136,0.13674,0.00554,70.71875,1.30774
ablate_no_reacquisition_guard,combined_extreme_stress,8,4,0.87500,0.16039,0.05581,0.01572,0.05876,0.01543,0.05563,0.01511,0.50747,0.03517,0.08366,0.06528,0.00000,0.00000,0.14722,0.09423,0.61945,0.12836,84.37500,7.21756,0.00000,0.00000,1.04554,0.05840,0.11438,0.01061,70.28125,1.10517
ablate_no_reacquisition_guard,combined_stress,8,4,0.84375,0.08966,0.05597,0.01167,0.05546,0.00882,0.05558,0.01223,0.52350,0.02436,0.03869,0.05106,0.00000,0.00000,0.18021,0.07603,0.65243,0.05370,87.18750,5.51250,0.00000,0.00000,0.98249,0.03771,0.11571,0.00587,71.00000,1.00591
ablate_no_reacquisition_guard,false_reappearance,8,4,0.96875,0.06125,0.04115,0.00979,0.04175,0.00703,0.04115,0.00979,0.53156,0.00441,0.03530,0.05515,0.00000,0.00000,0.16111,0.08341,0.73819,0.02564,90.00000,0.00000,0.00000,0.00000,1.01269,0.02827,0.12125,0.00430,70.25000,0.66131
ablate_no_reacquisition_guard,stale_memory_trap,8,4,0.93750,0.08020,0.04319,0.00805,0.04176,0.00701,0.04319,0.00805,0.53424,0.00845,0.00417,0.00405,0.00000,0.00000,0.17222,0.10324,0.72118,0.04864,90.00000,0.00000,0.00000,0.00000,0.99816,0.06133,0.12108,0.00602,70.75000,1.39210
ablate_no_self_mask,combined_extreme_stress,8,4,0.65625,0.12890,0.07480,0.00930,0.08277,0.00921,0.07339,0.00878,0.63914,0.03695,0.07302,0.06998,0.00000,0.00000,0.16945,0.10571,0.43299,0.07152,75.93750,11.60060,0.00000,0.00000,1.07503,0.05548,0.13000,0.00708,69.93750,1.25183
ablate_no_self_mask,combined_stress,8,4,0.81250,0.15356,0.05863,0.01375,0.06778,0.01220,0.05976,0.01381,0.65487,0.01681,0.07443,0.07495,0.00000,0.00000,0.12917,0.08335,0.59132,0.11637,78.75000,8.33412,0.00000,0.00000,1.00542,0.03501,0.13627,0.00806,70.71875,0.92340
ablate_no_self_mask,false_reappearance,8,4,0.93750,0.08020,0.04437,0.00916,0.04813,0.00735,0.04437,0.00916,0.67319,0.00412,0.03468,0.06047,0.00000,0.00000,0.10451,0.06730,0.70069,0.04418,90.00000,0.00000,0.00000,0.00000,1.01169,0.02970,0.14363,0.00436,70.09375,0.79085
ablate_no_self_mask,stale_memory_trap,8,4,0.81250,0.12250,0.05734,0.00677,0.06731,0.00609,0.05734,0.00677,0.67639,0.00607,0.04630,0.05638,0.00000,0.00000,0.18577,0.11620,0.55486,0.07550,90.00000,0.00000,0.00000,0.00000,1.02911,0.06342,0.13472,0.00489,70.78125,1.35918
ablate_no_tail_risk_objective,combined_extreme_stress,8,4,0.75000,0.16039,0.06624,0.01276,0.06659,0.01288,0.06865,0.01406,0.49745,0.03621,0.10343,0.07834,0.03125,0.06125,0.17257,0.07658,0.54167,0.12167,78.75000,11.78622,0.00000,0.00000,1.20038,0.05460,0.11200,0.00976,69.93750,1.27558
ablate_no_tail_risk_objective,combined_stress,8,4,0.90625,0.08966,0.04743,0.00835,0.04688,0.00849,0.04786,0.00858,0.53026,0.01169,0.01109,0.01014,0.00000,0.00000,0.14410,0.08127,0.70868,0.04868,87.18750,5.51250,0.00000,0.00000,1.13533,0.03068,0.12204,0.00408,70.96875,1.04125
ablate_no_tail_risk_objective,false_reappearance,8,4,0.96875,0.06125,0.04472,0.00780,0.04648,0.00830,0.04434,0.00751,0.52030,0.02339,0.00739,0.00872,0.00000,0.00000,0.14896,0.06566,0.72535,0.03490,87.18750,5.51250,0.00000,0.00000,1.15421,0.03630,0.11729,0.00742,70.12500,0.76920
